44

0  1  3.5  4.5 
1  1  7.5  9.5
0  1  12.5  13.5
1  2  4.5  6.5
0  2  9.5  10.5 
0  2  11.5  12.5 
0  3  3.5  4.5
1  3  6.5  7.5
1  3  11.5  13.5 
0  4  4.5  5.5
0  4  12.5  13.5

0  2  13.5  14.5 
1  2  17.5  19.5
0  2  22.5  23.5
1  1  14.5  16.5
0  1  19.5  20.5 
0  1  21.5  22.5 
0  4  13.5  14.5
1  4  16.5  17.5
1  4  21.5  23.5 
0  3  14.5  15.5
0  3  22.5  23.5

0  3  23.5  24.5 
1  3  27.5  29.5
0  3  32.5  33.5
1  2  24.5  26.5
0  2  29.5  30.5 
0  2  31.5  32.5 
0  4  23.5  24.5
1  4  26.5  27.5
1  4  31.5  33.5 
0  1  24.5  25.5
0  1  32.5  33.5

0  4  33.5  34.5 
1  4  37.5  39.5
0  4  42.5  43.5
1  2  34.5  36.5
0  2  39.5  40.5 
0  2  41.5  42.5 
0  3  33.5  34.5
1  3  36.5  37.5
1  3  41.5  43.5 
0  1  34.5  35.5
0  1  42.5  43.5
