94



0  1  3.0  4.0
0  2  5.0  6.0  
0  3  7.0  8.0
0  4  9.0  10.0
0  2  11.0  13.0
0  3  13.0  14.0
0  4  15.0  16.0
0  1  17.0  18.0



0  1  19.0  20.0
0  2  20.0  21.0
0  3  21.0  22.0
0  4  22.0  23.0
0  3  23.0  24.0
0  2  24.0  25.0
0  1  25.0  26.0

0  3  27.0  28.0
0  2  28.0  29.0  
0  1  29.0  30.0
0  4  30.0  31.0
0  4  31.0  32.0
0  2  32.0  33.0
0  1  33.0  34.0



1  2  35.0  37.0  
1  4  37.0  39.0
1  3  39.0  39.0 
1  1  42.0  44.0 

1  4  43.0  46.0 
1  1  45.0  48.0
1  3  47.0  50.0
1  2  49.0  50.0



0  1  51.0  52.0
0  4  51.0  52.0
0  2  52.0  53.0
0  3  52.0  53.0
0  2  53.0  54.0
0  4  53.0  54.0
0  1  54.0  55.0
0  3  54.0  55.0

1  2  55.0  57.0
1  4  57.0  59.0

0  1  59.0  60.0
0  4  59.0  60.0
0  2  60.0  61.0
0  3  60.0  61.0
0  2  61.0  62.0
0  4  61.0  62.0
0  1  62.0  63.0
0  3  62.0  63.0

0  2  63.0  64.0
1  3  64.0  67.0
1  1  65.0  67.0
1  4  65.0  67.0



0  3  67.0  68.0
0  4  68.0  69.0 
0  2  69.0  70.0
0  1  70.0  71.0

0  4  71.0  72.0
0  3  71.0  72.0
0  3  72.0  73.0
0  2  72.0  73.0
1  4  73.0  75.0

0  3  75.0  76.0
0  4  76.0  77.0  
0  2  77.0  78.0
0  1  78.0  79.0

0  4  79.0  80.0
0  3  79.0  80.0
0  3  80.0  81.0
0  2  80.0  81.0
1  4  81.0  83.0



0  4  83.0  84.0
1  3  84.0  86.0
0  2  86.0  87.0

0  3  87.0  88.0
1  2  88.0  90.0
0  1  90.0  91.0

0  3  91.0  92.0
0  4  92.0  93.0  
1  2  93.0  95.0

1  4  95.0  97.0
0  3  97.0  98.0
0  3  98.0  99.0



0  1  99.0  100.0
0  2  102.0  103.0
1  3  103.0  105.0
0  2  105.0  106.0

0  1  107.0  108.0
0  2  110.0  111.0  
1  3  111.0  112.0
0  4  113.0  114.0



0  1  115.0  116.0
1  2  116.0  118.0

0  1  118.0  119.0
1  2  119.0  121.0

122.0
