175

0  1   7.925 0

0  3   8.415 0
0  3   9.364 0
0  3  10.303 0
0  3  11.283 0
0  3  12.211 0
0  3  13.170 0
0  3  14.119 0
0  3  15.079 0

0  4  16.027 0
0  4  16.987 0
0  4  17.936 0
0  4  18.885 0
0  4  19.854 0
0  4  20.783 0
0  4  21.732 0
0  4  22.680 0

0  1  23.661 0
0  1  24.620 0
0  1  25.548 0
0  1  26.528 0
0  1  27.477 0
0  1  28.405 0
0  1  29.375 0
0  1  30.324 0

0  2  31.262 0
0  2  32.201 0
0  2  33.160 0
0  2  34.120 0
0  2  35.089 0
0  2  36.038 0
0  2  36.987 0
0  2  37.926 0
0  2  37.926 0

0  3  38.645 0
0  3  39.125 0
0  3  39.594 0
0  3  40.074 0
0  3  40.554 0
0  3  41.033 0
0  3  41.533 0
0  3  42.008 0
0  1  42.451 0
0  1  42.941 0
0  1  43.432 0
0  1  43.901 0
0  1  44.380 0
0  1  44.839 0
0  1  45.329 0
0  1  45.778 0

0  4  46.039

0  3  46.268 0
0  2  46.518 0
0  3  46.737 0
0  4  47.238 0
0  3  47.446 0
0  3  47.947 0
0  3  48.416 0
0  4  49.344 0
0  3  49.605 0
0  4  49.845 0
0  3  50.074 0
0  4  50.324 0
0  4  51.033 0
0  3  51.263 0
0  3  51.753 0
0  3  52.233 0
0  4  52.931 0
0  3  54.120 0
0  4  54.860 0
0  3  55.079 0
0  4  55.580 0
0  3  56.049 0
0  4  56.737 0
0  3  58.875 0
0  4  59.386 0
0  3  59.855 0
0  4  60.544 0
0  3  60.794 0
0  4  61.273 0
0  3  61.523 0
0  4  61.753 0
0  4  62.452 0
0  3  62.692 0
0  4  63.182 0
0  4  63.672 0
0  4  64.360 0
0  3  64.600 0
0  2  64.840 0
0  3  65.090 0
0  2  65.549 0
0  3  66.268 0
0  2  66.498 0
0  3  66.988 0
0  2  67.468 0
0  3  68.187 0
0  2  68.406 0
0  3  68.875 0
0  2  69.355 0
0  3  70.064 0
0  2  70.335 0
0  2  70.804 0
0  2  71.263 0
0  3  71.983 0
0  2  72.494 0
0  2  72.932 0
0  2  73.401 0
0  3  73.891 0
0  2  74.131 0
0  2  74.621 0
0  2  75.080 0

1  3  77.1  79.1

0  1  79.7  79.7
0  2  80.2  80.2
0  3  80.7  80.7
0  1  81.2  79.7
0  2  81.7  80.2
0  3  82.2  80.7

0  3  84.2  84.2

0  2  87.2  87.2
0  3  87.7  87.7
0  4  88.2  88.2
0  2  88.7  87.2
0  3  89.2  87.7
0  4  89.7  88.2


1 2  91.9  93.9

0  3  94.9  94.9
0  2  95.4  95.4
0  1  95.9  95.9
0  3  96.4  94.9
0  2  96.9  95.4
0  1  97.4  95.9

0  4  99.3  99.3

0  4  102.9  102.9
0  3  103.4  103.4
0  2  103.9  103.9
0  4  104.4  102.9
0  3  104.9  103.4
0  2  105.4  103.9


1  1  106.8  108.8

0  2  110.3  110.3
0  1  110.8  110.8
0  3  111.3  111.3
0  2  111.8  110.3
0  1  112.3  110.8
0  3  112.8  111.3

0  4  114.7  114.7

0  1   118.0  118.0
0  3   118.5  118.5
0  2   119.0  119.0
0  1   119.0  118.0
0  3   118.5  118.5
0  2   120.0  119.0


1  1  122.1  124.1

0  4  125.6  125.6
0  2  126.1  126.1
0  4  126.6  126.1
0  4  127.1  125.6
0  2  127.6  126.1
0  4  128.1  126.1

0  3  130.0  130.0

0  1  133.3  133.3
0  3  133.8  133.8
0  1  134.3  134.3
0  1  134.8  133.3
0  3  135.3  133.8
0  1  135.8  134.3


1  4  137.4  139.7

0  2  140.9  140.9
0  1  141.4  141.4
0  4  141.9   141.9  
0  2  142.4  140.9
0  1  142.9  141.4
0  4  143.4   141.9  

0  1  144.9  144.9

145
